"_id"	count	nbPR
INL/BlackLab	2	0
sakserv/hadoop-mini-clusters	2	0
jhannes/eaxy	2	0
spinscale/dropwizard-jobs	2	2
CamelCookbook/camel-cookbook-examples	2	0
abashev/vfs-s3	2	0
spring-projects/spring-integration-samples	2	2
bluelinelabs/LoganSquare	2	2
DiUS/java-faker	2	1
dooApp/FXForm2	2	0
NanoHttpd/nanohttpd	2	2
restfb/restfb	2	0
joel-costigliola/assertj-core	2	2
mongodb/mongo-java-driver	2	2
jcabi/jcabi-xml	2	0
ttrelle/spring-data-examples	2	0
joelittlejohn/jsonschema2pojo	2	2
VCNC/haeinsa	2	1
javaslang/javaslang	2	2
spring-projects/spring-statemachine	2	0
griffon/griffon	2	0
javadev/underscore-java	2	0
yahoo/pulsar	2	2
spring-cloud/spring-cloud-aws	2	0
flaxsearch/luwak	2	1
basho/riak-java-client	2	1
bbottema/simple-java-mail	2	0
apache/commons-cli	2	2
ngageoint/elasticgeo	2	0
ocpsoft/rewrite	2	1
apache/commons-beanutils	2	0
xtreemfs/xtreemfs	2	0
brianfrankcooper/YCSB	2	2
caelum/vraptor4	2	1
arquillian/arquillian-extension-drone	2	1
FasterXML/jackson-module-jaxb-annotations	2	0
FINRAOS/DataGenerator	2	0
apache/commons-codec	2	1
logstash/logstash-logback-encoder	2	2
Netflix/eureka	2	1
shrinkwrap/resolver	2	2
raphw/byte-buddy	2	0
sockeqwe/ParcelablePlease	2	1
google/guice	2	2
square/wire	2	1
JCTools/JCTools	2	0
rinde/RinSim	2	0
vladmihalcea/flexy-pool	2	1
PebbleTemplates/pebble	2	1
opentripplanner/OpenTripPlanner	2	0
darrachequesne/spring-data-jpa-datatables	2	1
Tillerino/Tillerinobot	2	0
quartz-scheduler/quartz	2	2
mdeverdelhan/ta4j	2	1
upyun/java-sdk	2	0
fakereplace/fakereplace	2	0
FasterXML/jackson-dataformat-xml	2	0
apache/marmotta	2	1
graphhopper/jsprit	1	1
HubSpot/Baragon	1	0
phax/jcodemodel	1	0
OpenSextant/SolrTextTagger	1	0
phax/ph-css	1	0
fayder/restcountries	1	0
linqs/psl	1	0
oracle/opengrok	1	1
tipsy/j2html	1	0
apache/metron	1	1
apache/httpcomponents-client	1	0
openwide-java/artifact-listener	1	0
getsentry/sentry-java	1	0
opensagres/xdocreport	1	1
julman99/gson-fire	1	0
cdk/cdk	1	0
apache/httpcomponents-core	1	0
Mashape/unirest-java	1	1
rometools/rome	1	1
spring-io/sagan	1	1
apache/commons-pool	1	0
Graylog2/graylog2-server	1	1
EasyBatch/easybatch-framework	1	0
tomp2p/TomP2P	1	0
cardillo/joinery	1	0
OryxProject/oryx	1	0
pmwmedia/tinylog	1	0
jhalterman/failsafe	1	0
soundcloud/java-api-wrapper	1	1
spring-projects/spring-petclinic	1	1
jcabi/jcabi-ssh	1	0
MoriTanosuke/glacieruploader	1	0
twitter/elephant-bird	1	1
DigitalPebble/storm-crawler	1	0
b3log/symphony	1	0
neoremind/fluent-validator	1	1
notnoop/java-apns	1	1
modcluster/mod_cluster	1	1
klieber/phantomjs-maven-plugin	1	1
kite-sdk/kite	1	1
jhalterman/expiringmap	1	1
jirutka/validator-collection	1	0
yinwang0/pysonar2	1	1
ralscha/extdirectspring	1	0
demoiselle/framework	1	0
jpush/jpush-api-java-client	1	0
clun/ff4j	1	0
tcurdt/jdeb	1	0
caelum/mamute	1	0
viskell/viskell	1	1
mitreid-connect/OpenID-Connect-Java-Spring-Server	1	0
protegeproject/protege	1	1
jhalterman/lyra	1	1
jbake-org/jbake	1	1
awslabs/amazon-kinesis-client	1	1
JodaOrg/joda-beans	1	0
hdiv/hdiv	1	0
flapdoodle-oss/de.flapdoodle.embed.process	1	0
Jasig/uPortal	1	1
code4craft/webmagic	1	0
RuedigerMoeller/fast-serialization	1	0
jcgay/maven-color	1	0
subchen/jetbrick-template-2x	1	0
svendiedrichsen/jollyday	1	1
jfaster/mango	1	0
Netflix/Raigad	1	0
digital-preservation/droid	1	1
sendgrid/sendgrid-java	1	1
spockframework/spock	1	1
ical4j/ical4j	1	0
hierynomus/sshj	1	0
castlabs/dashencrypt	1	0
cryptomator/cryptomator	1	0
RIPE-NCC/whois	1	1
exteso/alf.io	1	0
MinecraftForge/MinecraftForge	1	1
caskdata/cdap	1	1
Swagger2Markup/swagger2markup	1	1
eclipse/eclipse-collections	1	0
unic/neba	1	0
jzy3d/jzy3d-api	1	0
wmixvideo/nfe	1	1
windy1/google-places-api-java	1	1
sevntu-checkstyle/sevntu.checkstyle	1	1
HolmesNL/kafka-spout	1	0
timgifford/maven-buildtime-extension	1	1
timmolter/Sundial	1	1
find-sec-bugs/find-sec-bugs	1	1
pac4j/play-pac4j	1	1
fappel/xiliary	1	0
infinitest/infinitest	1	1
xmlunit/xmlunit	1	0
siom79/japicmp	1	1
google/google-http-java-client	1	1
